title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Indonesia-Japan Economic Partnership Agreement (IJEPA),"<div>The Indonesia–Japan Economic Partnership Agreement entered into force in July 2008. It provides for the elimination or reduction of import tariffs for most energy product, including: iron, metals, ammonia, steel, aluminium, battery packs and cells, anodes, heat pumps, electric cars, and ICE cars.<br> <br>Specific rules of origins apply in order to qualify for preferential tariff treatment e.g. wholly produced in the parties' territories, materials undergoing change in tariff classification or satisfying a minimum local value content of 40%.</div>",In force,2008,International,International Energy Agency,01-07-2008,,https://www.mofa.go.jp/policy/economy/fta/indonesia.html,,1717974951444,"[{""iso3"":""JPN"",""name"":""Japan""},{""iso3"":""IDN"",""name"":""Indonesia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
Japan-Brunei Economic Partnership Agreement (JBEPA),"<div>The Japan-Brunei Economic Partnership Agreement entered into force in July 2008. It provides for the elimination of export duties and non-tariff measures, as well as for the gradual elimination of import duties- notably for fossil fuels, iron, metals, ammonia, steel, aluminium, electric generators and machinery, battery packs and cells, anodes, heat pumps, electric cars, and ICE cars.<br><br>The Agreement however allows the adoption of bilateral safeguard measures to prevent or remedy serious injuries to a domestic industry of one of the signatory countries resulting from an increase in imports brought by the reduction of a customs duty.<br><br>Specific rule of origins applies to confer originating status in order to qualify for preferential tariff treatment : goods need to be wholly produced or have undergone a significant production process (eg. one that entails a change in tariff classification) in one of the parties' territories, and/or to meet a minimum local value content of 40%.</div>",In force,2008,International,International Energy Agency,31-07-2008,,https://www.mofa.go.jp/policy/economy/fta/brunei.html,,1719310508096,"[{""iso3"":""JPN"",""name"":""Japan""},{""iso3"":""BRN"",""name"":""Brunei Darussalam""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
Japan-Philippines Economic Partnership Agreement (JPEPA),"<div>The Japan-Philippines Economic Partnership Agreement (JPEPA) entered into force in December 2008. <br><br>It provides for the gradual elimination of border tariffs for most energy products, including : iron, metals, steel, battery packs and cells, anodes, heat pumps, electric cars, and ICE cars.<br> <br>Specific rule of origins delineated in the Agreement provide that in order to qualify for preferential tariff treatment, goods must be wholly produced in one of the Parties' territories, or have undergone there a significant production process (entailing a change in tariff classification), or satisfy a 40% minimum local value content requirement.</div>",In force,2008,International,International Energy Agency,11-12-2008,,https://www.mofa.go.jp/policy/economy/fta/philippines.html,,1719332010677,"[{""iso3"":""JPN"",""name"":""Japan""},{""iso3"":""PHL"",""name"":""Philippines""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
Special Economic Zones (SEZ),"<div>South Africa established Special Economic Zones (SEZ) to develop new industrial hubs in the country, attract foreign direct investment (FDI), and diversify exports. SEZ are geographically designated area where industrial development incentives are provided in specific targeted economic sectors, including clean energy. <br><br>SEZ companies benefit from import duty rebates and VAT exemption on imports of raw materials used for export-bound production. Customs administration processes are also streamlined. Tax incentives, such as a reduced corporate income tax rate, as well as employment tax incentives are also provided in SEZs.<br><br>Some SEZ focus on clean energy industries, notably:<br>-Atlantis Greentech, which seeks to support local renewable manufacturing industrial capacities<br>-Coega SEZ, East London SEZ (ELSEZ), and Musina-Makhado which seek to promote and attract investment and boost exports in the automotive and renewable energy sectors.</div>",In force,2014,National,International Energy Agency,19-05-2014,,http://www.thedtic.gov.za/sectors-and-services-2/industrial-development/special-economic-zones/,,1718202776900,"[{""iso3"":""ZAF"",""name"":""South Africa""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Foreign direct investment (FDI)"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Foreign direct investment (FDI)"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Foreign direct investment (FDI)"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Foreign direct investment (FDI)"",""category"":""Electric light-duty vehicles""}]"
[Announced] Government envisaged support for energy and clean energy technology sectors,"<div>In January 2024, the Presidency of The Republic of Turkiye's Investment Office updated their investment incentives for different areas including priority investments including:</div><ul><li>Mine extraction and processing investment</li><li>Renewable energy components manufacturing including turbines, generators, solar panels and wind blades</li><li>Motor parts investments </li><li>Electricity generation investments with coal-based minerals</li><li>Energy efficiency investments in existing industry facilities</li><li>Liquefied natural gas (LNG) investments and underground natural gas storage investments </li><li>Electricity generation investments from waste heat recovery </li><li>Mineral exploration investments </li><li>Greenhouse investments, including domestically produced greenhouse technologies based on automation</li><li>Nuclear power plant investments </li><li>Manufacturing of software and IT products</li></ul><div><br></div><div>The incentives included VAT Exemption for machinery, construction, customs duty exemption, corporate tax reduction, social security premium support, and interest rate support, with a total support rate that could reach 88.6% of the investment input based on the modelled scenario.</div>",Announced,2024,National,International Energy Agency,,,https://www.invest.gov.tr/en/library/publications/lists/investpublications/guide-to-state-incentives-for-investments-in-turkiye.pdf,,1750778177938,"[{""iso3"":""TUR"",""name"":""Republic of Turkiye""}]",[],"[""Power generation supporting technologies""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""},{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending for low-emissions and efficient transport"",""category"":""Other""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""},{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending for low-emissions and efficient transport"",""category"":""Light-duty vehicles""},{""topic"":""Transport"",""family"":""Incentives and investments"",""name"":""Government spending for low-emissions and efficient transport"",""category"":""Medium/Heavy-duty vehicles""}]"
Japan-Viet Nam Economic Partnership Agreement (JVEPA),"<div>The Japan-Viet Nam Economic Partnership Agreement (JVEPA) entered into force on October 2009. It eliminates borders tariffs for most goods traded between both countries, including : iron, metals, steel, battery packs and cells, anodes, heat pumps, electric cars, and ICE cars.<br> <br>Specific rule of origins delineated in the Agreement state that in order to qualify for preferential tariff treatment, good should be wholly produced, or have undergone a significant production process in one of the signatory countries, or satisfy a 40% minimum local value content requirement.<br><br></div>",In force,2009,International,International Energy Agency,01-10-2009,,https://www.mofa.go.jp/policy/economy/fta/vietnam.html,,1719176958660,"[{""iso3"":""JPN"",""name"":""Japan""},{""iso3"":""VNM"",""name"":""Viet Nam""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
Japan-Peru Economic Partnership Agreement,"<div>The Japan-Peru Economic Partnership Agreement (EPA) entered into force in March 2012. <br><br>The Agreement provides for the reduction or elimination of import tariff for most energy sector products, including iron, metals, steel, battery packs and cells, anodes, heat pumps, electric cars, and ICE cars.<br> <br>Specific rules of origins apply: in order to qualify for preferential tariff treatment, products need to be wholly obtained on one of the Parties' territories, have undergone a significant production process there or satisfying a 35% minimum local value content requirement.</div>",In force,2012,International,International Energy Agency,01-03-2012,,https://www.mofa.go.jp/policy/economy/fta/peru.html,,1719438446313,"[{""iso3"":""JPN"",""name"":""Japan""},{""iso3"":""PER"",""name"":""Peru""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
Japan-Australia Economic Partnership Agreement (JAEPA) ,"<div>The Japan-Australia Economic Partnership Agreement (JAEPA) entered into force on 15 January 2015. The treaty grants tariff-free status to the following products: iron, alumina, metals, ammonia, steel, aluminium, nitrogen fertilizers, battery packs and cells, anodes, electric cars, and internal combustion engine cars. Clean technologies and their components not listed are not included in the Schedule for Elimination on Reduction of Customs Duties of Japan.</div><div><br>In addition to this Agreement, bilateral trade policy between these two countries is also subject to the Japan‑Australia Partnership on Decarbonisation through Technology. This technology partnership aims to advance cooperation in a range of areas, including clean hydrogen and ammonia and low-emissions steel and iron ore. Rules of origin and local content requirements are not explicitly stated in this agreement.</div>",In force,2015,International,International Energy Agency,15-01-2015,,https://www.mofa.go.jp/policy/economy/fta/australia.html,,1717171379308,"[{""iso3"":""JPN"",""name"":""Japan""},{""iso3"":""AUS"",""name"":""Australia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
Japan-Mongolia Economic Partnership Agreement (EPA),"<div>The Japan-Mongolia Economic Partnership Agreement (EPA) entered into force on June 7, 2016. <br><br>The agreement includes most energy products and their constituents including but not limited to: iron, metals, steel, battery packs and cells, anodes, heat pumps, electric cars, and ICE cars.<br> <br>Specific rule of origins applies to confer originating status in order to qualify for preferential tariff treatment e.g. wholly produced in the parties' territories, materials undergoing change in tariff classification or satisfying a minimum local value content of 40 - 50%.</div>",In force,2016,International,International Energy Agency,07-06-2016,,https://www.mofa.go.jp/policy/economy/fta/mongolia.html,,1716804129017,"[{""iso3"":""JPN"",""name"":""Japan""},{""iso3"":""MNG"",""name"":""Mongolia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""}]"
Trade Agreement between Japan and the United States of America,"<div>The Trade Agreement between Japan and the United States of America came into force on 1 January 2020, eliminating tariffs for a significant portion of goods traded between both countries, covering various sectors such as steel and iron, automotive, and digital trade. <br><br>The agreement includes most energy products and their constituents including but not limited to: iron, base metal, steel, aluminum, battery packs, and cells. Customs duties on automobile and auto parts are subjected to further negotiations with respect to the elimination of customs duties.<br><br>US lifted Section 232 tariffs on steel from Japan on April 1, 2022. On February 7, 2022, the US and Japan announced that they had reached an agreement to partially lift 25% tariffs on certain Japanese-origin steel imports that had been imposed in 2018 under Section 232.<br><br>Specific rule of origins apply in order to qualify for preferential tariff treatment, depending on whether goods are wholly produced in the parties' territories, undergoing change in tariff classification or satisfying a minimum local value content of 10%.</div>",In force,2020,International,International Energy Agency,01-01-2020,,https://www.mofa.go.jp/na/na2/page24e_000260.html,,1716824141279,"[{""iso3"":""JPN"",""name"":""Japan""},{""iso3"":""USA"",""name"":""United States""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""}]"
UAE-Turkiye Comprehensive Economic Partnership Agreement,"<div>In March, 2023, Turkiye and the United Arab Emirates signed a Comprehensive Economic Partnership Agreement (CEPA) to enhance trade and investments between the two countries. The Agreement came into force in September 2023. <br><br>The Agreement notably provides preferential tariff treatment to the following products:</div><ul><li> Semi-finished products of iron or non-alloy steel.</li><li> Articles of iron or steel.</li><li> Aluminium and articles thereof.</li><li> Nickel and articles thereof.</li><li> Electric motors and generators (excluding generating sets).</li><li> Heat pumps.</li><li> Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.</li><li> Battery cells, battery modules and parts thereof, intended to be incorporated into an electric accumulator of a kind used as the primary source of electrical power for propulsion of vehicles of headings 87.02, 87.03 and 87.04. </li><li> Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbon, with or without metal, of a kind used for electrical purposes.  </li></ul><div><br></div><div>Rules or origin dictate the following requirements for goods to benefit from preferential tariff treatment:</div><ul><li>For ores, slags, mineral fuels and mineral oils as well as selected iron and steel - local manufacturing using materials of any heading, except that of the product, is required. </li><li>For most other products, the value of all non-originating materials used should not exceed 50 % of the exworks price of the product.</li></ul><div>The agreement also provides for preferential treatment for foreign direct investment originating from one of the signatory countries, notably allowing full foreign ownership of a company.</div>",In force,2023,International,International Energy Agency,01-09-2023,,https://www.moec.gov.ae/documents/20121/1347101/UAE+-+Turkey+CEPA-+English+version+%28004%29.pdf/fc3cb5bc-e677-af67-756d-9f793efb8e91?t=1693550998365,,1719072722417,"[{""iso3"":""TUR"",""name"":""Republic of Turkiye""},{""iso3"":""ARE"",""name"":""United Arab Emirates""}]",[],"[""Heat pumps"",""Aluminium"",""Iron and steel""]",[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""}]"
2024 grid investments,"<div>The Turkish government is investing in the following 2024 transmission and distribution grid projects: <br><br></div><ul><li>transmission upgrades, including substations, transmission lines, and transmission components and materials for expanding the existing grid network to new cities and enhancing already existing interconnections.</li><li> distribution upgrades, including the implementation of geographic information systems, hardware, system software, machinery, and equipment.</li></ul>",In force,2024,National,International Energy Agency,2024-01-01,,https://www.sbb.gov.tr/wp-content/uploads/2024/01/2024-Yili-Yatirim-Programi-17012024.pdf,,1717451874665,"[{""iso3"":""TUR"",""name"":""Republic of Turkiye""}]",[],"[""Power transformation and distribution technologies""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in electricity networks"",""category"":null}]"
Turkiye's Power Grid Investments by 2030,"<div>In March 2023, Turkiye announced its plan to invest $10 billion to build a green grid by 2030. The ministry illuminated the necessity of the grid's upgrades to accommodate the different clean energy installations. This includes a plan to increase the installed electricity capacity to 190 GW, of which 60 GW will be renewable energy, by 2035. <br><br>The ministry is in discussion with World Bank for their support on the scale-up plan with financial and technical assistance and in partnership with the ministry and key private sector. </div>",Announced,2023,National,International Energy Agency,2023-12-04,2030,https://enerji.gov.tr/news-detail?id=21221,,1750778178027,"[{""iso3"":""TUR"",""name"":""Republic of Turkiye""}]",[],"[""Other transmission and distribution technologies"",""Wind"",""Solar PV"",""Power transformation and distribution technologies"",""Transformers and substations"",""Wind offshore"",""Wind onshore""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Nuclear""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""}]"
Turkiye - Azerbaijan Interconnection Project,"<div>In 2023, the Ministry of Energy and Natural Resources of the Republic of Turkiye announced the plan of signing a electricity interconnection project with the Azerbaijani electricity power company AzerEnerji.  The cooperation will ease the energy supply challenges in the two countries and will allow them to share their know-hows. The project will also help Turkiye to meet its energy demand and achieve carbon emissions neutrality by 2053. </div>",Announced,2023,National,International Energy Agency,,,https://enerji.gov.tr/news-detail?id=21185,,1717449442053,"[{""iso3"":""TUR"",""name"":""Republic of Turkiye""},{""iso3"":""AZE"",""name"":""Azerbaijan""}]",[],"[""Power transformation and distribution technologies""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in electricity networks"",""category"":null}]"
African Continental Free Trade Area (AFCFTA),"<div>The African Continental Free Trade Area (AFCFTA) entered into force in July 2020. It provides for the removal of border tariffs on 97% of goods traded, over a period of 5 to 15 years, notably for:</div><ul><li> Ferrous waste and scrap .</li><li> Aluminium ores and concentrates.</li><li>Aluminium and Aluminium Alloys.</li><li>Ferro-Nickel and Nickel Alloys.</li><li>Ammonia, anhydrous or in aqueous solution.  </li><li>Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading. </li><li>Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbon, with or without metal, of a kind used for electrical purposes.</li><li>Cathodes and sections of cathodes. </li><li>Products containing by weight more than 50% of alumina (Al2O3) or of a mixture or compound of alumina and of silica (SiO2). </li></ul><div>Additionally, it aims at eliminating non-tariff barriers and at establishing a harmonized system of commodity coding and description that follows the international convention.<br><br>Rules of origin determining whether a product qualifies for preferential tariff treatment if it has been wholly obtained or has undergone substantial transformation in one of the Parties to the Agreement.</div>",In force,2019,International,International Energy Agency,,,https://au.int/en/articles/operational-phase-african-continental-free-trade-area-launched,,1718713168176,"[{""iso3"":""EGY"",""name"":""Egypt""},{""iso3"":""MAR"",""name"":""Morocco""},{""iso3"":""MOZ"",""name"":""Mozambique""},{""iso3"":""NAM"",""name"":""Namibia""},{""iso3"":""NER"",""name"":""Niger""},{""iso3"":""NGA"",""name"":""Nigeria""},{""iso3"":""RWA"",""name"":""Rwanda""},{""iso3"":""STP"",""name"":""Sao Tome And Principe""},{""iso3"":""SEN"",""name"":""Senegal""},{""iso3"":""SYC"",""name"":""Seychelles""},{""iso3"":""SLE"",""name"":""Sierra Leone""},{""iso3"":""ZAF"",""name"":""South Africa""},{""iso3"":""SWZ"",""name"":""Eswatini""},{""iso3"":""TGO"",""name"":""Togo""},{""iso3"":""CIV"",""name"":""Cote D'ivoire""},{""iso3"":""DJI"",""name"":""Djibouti""},{""iso3"":""AGO"",""name"":""Angola""},{""iso3"":""GNQ"",""name"":""Equatorial Guinea""},{""iso3"":""ETH"",""name"":""Ethiopia""},{""iso3"":""GAB"",""name"":""Gabon""},{""iso3"":""GMB"",""name"":""Gambia""},{""iso3"":""GHA"",""name"":""Ghana""},{""iso3"":""COG"",""name"":""Republic of the Congo""},{""iso3"":""COD"",""name"":""Democratic Republic of the Congo""},{""iso3"":""TZA"",""name"":""United Republic of Tanzania""},{""iso3"":""GIN"",""name"":""Guinea""},{""iso3"":""GNB"",""name"":""Guinea-Bissau""},{""iso3"":""KEN"",""name"":""Kenya""},{""iso3"":""LSO"",""name"":""Lesotho""},{""iso3"":""MWI"",""name"":""Malawi""},{""iso3"":""MLI"",""name"":""Mali""},{""iso3"":""MRT"",""name"":""Mauritania""},{""iso3"":""MUS"",""name"":""Mauritius""},{""iso3"":""UGA"",""name"":""Uganda""},{""iso3"":""ZMB"",""name"":""Zambia""},{""iso3"":""ZWE"",""name"":""Zimbabwe""},{""iso3"":""BWA"",""name"":""Botswana""},{""iso3"":""BFA"",""name"":""Burkina Faso""},{""iso3"":""BDI"",""name"":""Burundi""},{""iso3"":""CMR"",""name"":""Cameroon""},{""iso3"":""CPV"",""name"":""Cabo Verde""},{""iso3"":""CAF"",""name"":""Central African Republic""},{""iso3"":""TCD"",""name"":""Chad""},{""iso3"":""COM"",""name"":""Comoros""},{""iso3"":""TUN"",""name"":""Tunisia""},{""iso3"":""DZA"",""name"":""Algeria""},{""iso3"":""ESH"",""name"":""Western Sahara""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
2024 Adjustment on import and export tariffs,"<div>Starting from January 2024, China is implementing a reduction in import tariffs for 1,010 commodities, including lithium chloride, low-arsenic fluorspar, and gas diffusion layers for fuel cells.<br><br>Import tariffs on some commodities, including ethylene, propylene, and LCD glass substrates below 6 generations have been increased.</div>",In force,2024,National,International Energy Agency,01-01-2024,,https://www.gov.cn/yaowen/liebiao/202312/content_6922117.htm,,1717682338055,"[{""iso3"":""CHN"",""name"":""People's Republic of China""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Tariffs and duties"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Tariffs and duties"",""category"":""Solar PVs""}]"
Solar PV import tariff quota ,"<div>From 2024 to 2027, the Brazilian government is implementing a tariff rate quota (TRQ) exempting solar panel imports from border tariff within the quantitative limits set. Imports above quota limits are subject to a 9.6% import tariff. <br><br>Decreasing quantitative limits are set from 2024 to 2027. From 2028 onwards, solar panels imports are expected to be subject to a 9.6% import tariff.</div>",In force,2023,National,International Energy Agency,01-01-2024,2027,https://www.in.gov.br/en/web/dou/-/resolucao-gecex-n-541-de-20-de-dezembro-de-2023-533447714,,1718099322893,"[{""iso3"":""BRA"",""name"":""Brazil""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Tariffs and duties"",""category"":""Solar PVs""}]"
Wind energy import tariff inflexion,"<div>From January 2024, Brazil is implementing a 11.2% import tariff on wind energy technology (classified under HS Code 8502.31.00). Wind energy technology products over 7,500 kVA are however still temporary exempted, for a year. </div>",In force,2023,National,International Energy Agency,01-01-2024,,https://www.in.gov.br/en/web/dou/-/resolucao-gecex-n-541-de-20-de-dezembro-de-2023-533447714,,1718964405499,"[{""iso3"":""BRA"",""name"":""Brazil""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Tariffs and duties"",""category"":""Wind turbines""}]"
China - Cambodia Free Trade Agreement,"<div>The Free Trade Agreement between Cambodia and China entered into force in January 2022. Chinese tariffs on Cambodian imports are eliminated for 97.53% of Cambodia's traded items, while Cambodian import tariffs are eliminated for 90% of Chinese traded items. <br><br>On the Chinese side,</div><ul><li>Tariffs for Motor cars and other motor vehicles (formerly at 25%) are eliminated over 20 years</li><li>Tariffs for Heat pumps of compression type units (formerly at 10%) are eliminated over 20 years</li><li>Nickel oxides and hydroxides, as well as carbonates and lithium carbonate imports, will keep on being exempted from tariffs</li></ul><div>On the Cambodian side,</div><ul><li>Nickel oxides and hydroxides , as well as carbonates and lithium carbonate imports,will keep on being exempted from tariffs</li><li>Tariff for Electric and lithium-ion accumulators  (formerly at 15%) are eliminated over 20 years</li></ul><div><br></div><div>Rules of origin apply to determine application of the preferential tariff treatment.</div><ul><li>For certain vehicles,  40% minimum regional value content, as calculated under Article 3.5 on the Calculation of Regional Value Content, is required.</li><li>For diodes, transistors and semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes (LED); mounted piezo-electric crystals: a 40% minimum regional value content  is required.</li></ul>",In force,2022,National,International Energy Agency,01-01-2022,,http://fta.mofcom.gov.cn/article/chinacambodia/chinacambodiaxwfb/202111/46238_1.html,,1717683680361,"[{""iso3"":""KHM"",""name"":""Cambodia""},{""iso3"":""CHN"",""name"":""People's Republic of China""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
Free Trade Agreement between Switzerland and the European Union ,"<div>The free trade agreement between Switzerland and the European Union entered into force on 1 January 1973. <br><br>It provides for border tariff elimination for most industrial products, including : </div><ul><li>Electric motors, turbines and generators; </li><li>Mechanical equipment including pumps, appliances, and other advanced machinery; </li><li>Electric accumulators, transformers, capacitors, batteries; </li><li>Motor vehicles; </li><li>Mineral ore, slag and ash; </li><li>Mineral fuels, oils and other products; </li><li>Metals and their articles e.g. iron and steel; </li><li>Semiconductors devices and photovoltaic cells; </li></ul><div>Rules of origin stipulate products only undergoing minimal transformations in one of the signatory countries should not benefit from the tariff treatment established by the Agreement.</div>",In force,1973,International,International Energy Agency,01-01-1973,,https://www.fedlex.admin.ch/eli/cc/1972/3115_3169_2949/fr,https://www.efta.int/free-trade/free-trade-agreements/bosnia-and-herzegovina,1710265413287,"[{""iso3"":""CHE"",""name"":""Switzerland""},{""iso3"":""EUR"",""name"":""European Union""}]",[],[],[],"[{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Batteries""},{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Preferential trade agreements"",""category"":""Electric light-duty vehicles""}]"
